Date : 2026-08-16 22:18:15
Directory : /mnt/common_disk/vsProjects/uOS_new
Total : 55 files,  8371 codes, 2235 comments, 1640 blanks, all 12246 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/filesystem/vfs/vfs.h                           | C++             |         32 |          1 |         10 |         43 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/SupervisorRequestHandler/u_SuperRH.c | C               |        128 |         20 |         26 |        174 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/SupervisorRequestHandler/u_SuperRH.h | C++             |         22 |          6 |         10 |         38 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/interrupt/u_interrupt.c              | C               |        269 |         54 |         58 |        381 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/interrupt/u_interrupt.h              | C++             |         15 |          0 |         12 |         27 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/threading/u_thread.c                 | C               |        347 |         94 |         92 |        533 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/framework/threading/u_thread.h                 | C++             |         25 |          4 |         14 |         43 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_heap.c                                | C               |        247 |         14 |         42 |        303 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_heap.h                                | C++             |         36 |          5 |         21 |         62 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_memory.c                              | C               |        244 |         11 |         38 |        293 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_memory.h                              | C++             |         19 |          6 |          9 |         34 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_mempage.c                             | C               |        287 |         36 |         71 |        394 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_mempage.h                             | C               |         48 |         23 |         23 |         94 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_mmu.c                                 | C               |        542 |        130 |        110 |        782 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/memory/u_mmu.h                                 | C++             |         82 |          8 |         35 |        125 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/objects/udevice/udevice.c                      | C               |          1 |          0 |          3 |          4 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/objects/udevice/udevice.h                      | C++             |         74 |          9 |         25 |        108 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/objects/uobject.c                              | C               |         82 |          5 |         27 |        114 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/objects/uobject.h                              | C++             |         36 |          5 |         14 |         55 |
| /mnt/common_disk/vsProjects/uOS_new/u_kernel/timer/u_timer.c                                | C               |         52 |          7 |          9 |         68 |
