"filename", "language", "LinkerScript", "Makefile", "C", "C++", "Linker Map file", "comment", "blank", "total"
"/mnt/common_disk/vsProjects/uOS_new/Makefile", "Makefile", 0, 34, 0, 0, 0, 0, 11, 45
"/mnt/common_disk/vsProjects/uOS_new/build/kernel.map", "Linker Map file", 0, 0, 0, 0, 746, 0, 27, 773
"/mnt/common_disk/vsProjects/uOS_new/kernel.c", "C", 0, 0, 231, 0, 0, 85, 87, 403
"/mnt/common_disk/vsProjects/uOS_new/link.ld", "LinkerScript", 80, 0, 0, 0, 0, 12, 31, 123
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/arch/arm/u_arm.c", "C", 0, 0, 409, 0, 0, 4, 27, 440
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/arch/arm/u_arm.h", "C++", 0, 0, 0, 8, 0, 8, 7, 23
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/bcm2711/firmware_mailbox.c", "C", 0, 0, 62, 0, 0, 0, 15, 77
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/bcm2711/firmware_mailbox.h", "C++", 0, 0, 0, 28, 0, 0, 8, 36
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/emmc/u_emmc.c", "C", 0, 0, 645, 0, 0, 70, 143, 858
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/emmc/u_emmc.h", "C", 0, 0, 124, 0, 0, 23, 34, 181
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/gpio/u_gpio.c", "C", 0, 0, 105, 0, 0, 0, 15, 120
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/gpio/u_gpio.h", "C", 0, 0, 40, 0, 0, 2, 14, 56
"/mnt/common_disk/vsProjects/uOS_new/u_kernel/drivers/uart/u_uart.c", "C", 0, 0, 153, 0, 0, 5, 27, 185
